NCM,Início de vigência da NCM,Fim de vigência da NCM,uTrib para uso em operações de Exportação (Abreviatura),Descrição da uTrib utilizada em operações de Exportação,
03073200,2017-01-01 00:00:00,,KG,Quilograma,
03073900,2016-01-01 00:00:00,,KG,Quilograma,
03074200,2017-01-01 00:00:00,,KG,Quilograma,
03074310,2017-01-01 00:00:00,,KG,Quilograma,
03074320,2017-01-01 00:00:00,,KG,Quilograma,
03074900,2017-01-01 00:00:00,,KG,Quilograma,
03075100,2016-01-01 00:00:00,,KG,Quilograma,
03075200,2017-01-01 00:00:00,,KG,Quilograma,
03075900,2017-01-01 00:00:00,,KG,Quilograma,
03076000,2016-01-01 00:00:00,,KG,Quilograma,
03077100,2016-01-01 00:00:00,,KG,Quilograma,
03077200,2017-01-01 00:00:00,,KG,Quilograma,
03077900,2016-01-01 00:00:00,,KG,Quilograma,
03078100,2016-01-01 00:00:00,,KG,Quilograma,
03078200,2017-01-01 00:00:00,,KG,Quilograma,
03078300,2017-01-01 00:00:00,,KG,Quilograma,
03078400,2017-01-01 00:00:00,,KG,Quilograma,
03078700,2017-01-01 00:00:00,,KG,Quilograma,
03078800,2017-01-01 00:00:00,,KG,Quilograma,
03079100,2016-01-01 00:00:00,,KG,Quilograma,
03079200,2017-01-01 00:00:00,,KG,Quilograma,
03079900,2016-01-01 00:00:00,,KG,Quilograma,
03081100,2016-01-01 00:00:00,,KG,Quilograma,
03081200,2017-01-01 00:00:00,,KG,Quilograma,
03081900,2016-01-01 00:00:00,,KG,Quilograma,
03082100,2016-01-01 00:00:00,,KG,Quilograma,
03082200,2017-01-01 00:00:00,,KG,Quilograma,
03082900,2016-01-01 00:00:00,,KG,Quilograma,
03083000,2016-01-01 00:00:00,,KG,Quilograma,
03089000,2016-01-01 00:00:00,,KG,Quilograma,
03091000,2022-04-01 00:00:00,,KG,Quilograma,
03099000,2022-04-01 00:00:00,,KG,Quilograma,
04011010,2016-01-01 00:00:00,,KG,Quilograma,
04011090,2016-01-01 00:00:00,,KG,Quilograma,
04012010,2016-01-01 00:00:00,,KG,Quilograma,
04012090,2016-01-01 00:00:00,,KG,Quilograma,
04014010,2016-01-01 00:00:00,,KG,Quilograma,
04014021,2016-01-01 00:00:00,,KG,Quilograma,
04014029,2016-01-01 00:00:00,,KG,Quilograma,
04015010,2016-01-01 00:00:00,,KG,Quilograma,
04015021,2016-01-01 00:00:00,,KG,Quilograma,
04015029,2016-01-01 00:00:00,,KG,Quilograma,
04021010,2016-01-01 00:00:00,,KG,Quilograma,
04021090,2016-01-01 00:00:00,,KG,Quilograma,
04022110,2016-01-01 00:00:00,,KG,Quilograma,
04022120,2016-01-01 00:00:00,,KG,Quilograma,
04022130,2016-01-01 00:00:00,,KG,Quilograma,
04022910,2016-01-01 00:00:00,,KG,Quilograma,
04022920,2016-01-01 00:00:00,,KG,Quilograma,
04022930,2016-01-01 00:00:00,,KG,Quilograma,
04029100,2016-01-01 00:00:00,,KG,Quilograma,
04029900,2016-01-01 00:00:00,,KG,Quilograma,
04032000,2022-04-01 00:00:00,,KG,Quilograma,
04039000,2016-01-01 00:00:00,,KG,Quilograma,
04041000,2016-01-01 00:00:00,,KG,Quilograma,
